population,environment,sigma_obs,reward_mode,method,dataset_sha256,source
Crab-eating fox,allee,0.2,safe,moor_adapted_ricker_misspec_pbvi,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted P=10 ecological correction
Crab-eating fox,theta,0.1,safe,refplan,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted frozen general-RL P=10
Crab-eating fox,theta,0.1,safe,ogsrl,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted frozen general-RL P=10
Crab-eating fox,theta,0.1,safe,bamcts,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted frozen general-RL P=10
Crab-eating fox,theta,0.1,safe,ensemble_value_disagreement_pessimism,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted frozen general-RL P=10
Crab-eating fox,theta,0.1,safe,plus_adapted_ricker_only_pbvi,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted P=10 ecological correction
Crab-eating fox,theta,0.1,safe,moor_adapted_ricker_misspec_pbvi,b198aa7a5d3989a66be4a1fc8b4b299a0552fe287b6d2e192eb237e10f34bbc7,accepted P=10 ecological correction
Crab-eating fox,theta,0.2,safe,refplan,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted frozen general-RL P=10
Crab-eating fox,theta,0.2,safe,ogsrl,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted frozen general-RL P=10
Crab-eating fox,theta,0.2,safe,bamcts,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted frozen general-RL P=10
Crab-eating fox,theta,0.2,safe,ensemble_value_disagreement_pessimism,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted frozen general-RL P=10
Crab-eating fox,theta,0.2,safe,plus_adapted_ricker_only_pbvi,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted P=10 ecological correction
Crab-eating fox,theta,0.2,safe,moor_adapted_ricker_misspec_pbvi,684748d9f018313651ee689c7bc41cabcd6d8cf1cbc2b253646bef84b3937c20,accepted P=10 ecological correction
Crab-eating fox,regime,0.1,safe,refplan,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted frozen general-RL P=10
Crab-eating fox,regime,0.1,safe,ogsrl,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted frozen general-RL P=10
Crab-eating fox,regime,0.1,safe,bamcts,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted frozen general-RL P=10
Crab-eating fox,regime,0.1,safe,ensemble_value_disagreement_pessimism,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted frozen general-RL P=10
Crab-eating fox,regime,0.1,safe,plus_adapted_ricker_only_pbvi,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted P=10 ecological correction
Crab-eating fox,regime,0.1,safe,moor_adapted_ricker_misspec_pbvi,b94dc4d7556acdfa3abc8c2b4ee21d7dfdedff30a95fcf8e587cb73e7deb26b3,accepted P=10 ecological correction
Crab-eating fox,regime,0.2,safe,refplan,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted frozen general-RL P=10
Crab-eating fox,regime,0.2,safe,ogsrl,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted frozen general-RL P=10
Crab-eating fox,regime,0.2,safe,bamcts,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted frozen general-RL P=10
Crab-eating fox,regime,0.2,safe,ensemble_value_disagreement_pessimism,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted frozen general-RL P=10
Crab-eating fox,regime,0.2,safe,plus_adapted_ricker_only_pbvi,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted P=10 ecological correction
Crab-eating fox,regime,0.2,safe,moor_adapted_ricker_misspec_pbvi,f1ed95af136617037e389f96fffb99328be177e1a8c39bb1347f0a2c3eb8391a,accepted P=10 ecological correction
Egyptian vulture,ricker,0.1,safe,refplan,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.1,safe,ogsrl,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.1,safe,bamcts,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.1,safe,ensemble_value_disagreement_pessimism,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.1,safe,plus_adapted_ricker_only_pbvi,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted P=10 ecological correction
Egyptian vulture,ricker,0.1,safe,moor_adapted_ricker_misspec_pbvi,c69837c29e7e8b18835176d5c623b5a11f71095557ae0f148a73caf3609b9a58,accepted P=10 ecological correction
Egyptian vulture,ricker,0.2,safe,refplan,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.2,safe,ogsrl,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.2,safe,bamcts,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.2,safe,ensemble_value_disagreement_pessimism,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted frozen general-RL P=10
Egyptian vulture,ricker,0.2,safe,plus_adapted_ricker_only_pbvi,8b70bd2152e2926c53d35abd0d5ea1fa8eb665d9a4b2e57aa1e1ca02a4485523,accepted P=10 ecological correction
