cell,population,environment,sigma_obs,method,arm,multiplier,target_observation_scale,return_mean,return_sd,accepted_m1_return_mean,return_degradation_from_m1,surrogate_holdout_R2
A3,Crab-eating fox,regime,0.2,plus,1.2,1.2,45.930874511712524,10.94155982059927,0.3257568994110153,10.59072118573906,0.35083863486021016,0.6850520002069922
A3,Crab-eating fox,regime,0.2,plus,1.5,1.5,57.41359313964066,10.677756833399553,0.3796712738158044,10.59072118573906,0.08703564766049254,0.6743069031932596
A3,Crab-eating fox,regime,0.2,plus,2.0,2.0,76.55145751952088,10.18816419817426,0.037459469892376376,10.59072118573906,-0.4025569875648003,0.6613967882520024
A3,Crab-eating fox,regime,0.2,plus,3.0,3.0,114.82718627928132,10.19194314800766,0.035421478638369454,10.59072118573906,-0.3987780377314003,0.6453806813334725
A3,Crab-eating fox,regime,0.2,plus,kref,1.071174901916005,41.00000000000001,10.651997349058894,0.5743778133361538,10.59072118573906,0.06127616331983354,0.6907172461701196
A4,Crab-eating fox,theta,0.2,moor,0.5,0.5,23.762318670784467,10.137444889640568,1.8225036628030615e-15,10.137444889640568,0.0,0.8374477778674323
A4,Crab-eating fox,theta,0.2,moor,0.7,0.7,33.267246139098255,10.137444889640568,1.8225036628030615e-15,10.137444889640568,0.0,0.8472562454713434
A4,Crab-eating fox,theta,0.2,moor,0.85,0.85,40.39594174033359,10.137444889640568,1.8225036628030615e-15,10.137444889640568,0.0,0.852198962318886
A4,Crab-eating fox,theta,0.2,moor,1.2,1.2,57.02956480988272,10.215828441057699,0.09357397340733699,10.137444889640568,0.07838355141713116,0.8596461466276502
A4,Crab-eating fox,theta,0.2,moor,1.5,1.5,71.2869560123534,10.644303760895912,0.07121910244336686,10.137444889640568,0.5068588712553446,0.8635936902706812
A4,Crab-eating fox,theta,0.2,moor,2.0,2.0,95.04927468313787,10.642518711057807,0.043404389286170124,10.137444889640568,0.5050738214172394,0.867770384008147
A4,Crab-eating fox,theta,0.2,moor,3.0,3.0,142.5739120247068,10.185197313063313,0.023226646136566394,10.137444889640568,0.04775242342274488,0.8721756010220714
A4,Crab-eating fox,theta,0.2,moor,kref,0.8627104233394759,41.0,10.137444889640568,1.8225036628030615e-15,10.137444889640568,0.0,0.8525544891807566
A4,Crab-eating fox,theta,0.2,plus,0.5,0.5,23.762318670784467,10.137444889640568,1.8225036628030615e-15,10.311388233171321,-0.17394334353075358,0.8374477778674323
A4,Crab-eating fox,theta,0.2,plus,0.7,0.7,33.267246139098255,10.143590992398497,0.01347913630198977,10.311388233171321,-0.1677972407728241,0.8472562454713434
A4,Crab-eating fox,theta,0.2,plus,0.85,0.85,40.39594174033359,10.137444889640568,1.8225036628030615e-15,10.311388233171321,-0.17394334353075358,0.852198962318886
A4,Crab-eating fox,theta,0.2,plus,1.2,1.2,57.02956480988272,10.550214246885004,0.05897521451200971,10.311388233171321,0.23882601371368217,0.8596461466276502
A4,Crab-eating fox,theta,0.2,plus,1.5,1.5,71.2869560123534,10.304172664745987,0.03812755603387319,10.311388233171321,-0.007215568425333885,0.8635936902706812
A4,Crab-eating fox,theta,0.2,plus,2.0,2.0,95.04927468313787,10.25260113809232,0.01783171933512482,10.311388233171321,-0.05878709507900126,0.867770384008147
A4,Crab-eating fox,theta,0.2,plus,3.0,3.0,142.5739120247068,10.222853586786155,0.022450955818762025,10.311388233171321,-0.08853464638516684,0.8721756010220714
A4,Crab-eating fox,theta,0.2,plus,kref,0.8627104233394759,41.0,10.137444889640568,1.8225036628030615e-15,10.311388233171321,-0.17394334353075358,0.8525544891807566
B2,Amur tiger,ricker,0.1,moor,0.5,0.5,36.322975583470935,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.6191700728483729
B2,Amur tiger,ricker,0.1,moor,0.7,0.7,50.852165816859305,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5976032183099498
B2,Amur tiger,ricker,0.1,moor,0.85,0.85,61.74905849190059,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5850485493086116
B2,Amur tiger,ricker,0.1,moor,1.2,1.2,87.17514140033025,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5632049026387753
B2,Amur tiger,ricker,0.1,moor,1.5,1.5,108.9689267504128,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5497334931241487
B2,Amur tiger,ricker,0.1,moor,2.0,2.0,145.29190233388374,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5335195620599857
B2,Amur tiger,ricker,0.1,moor,3.0,3.0,217.9378535008256,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5134192133373325
B2,Amur tiger,ricker,0.1,moor,kref,3.441348017117911,250.0,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5074221477094025
B2,Amur tiger,ricker,0.1,plus,0.5,0.5,36.322975583470935,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.6191700728483729
B2,Amur tiger,ricker,0.1,plus,0.7,0.7,50.852165816859305,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5976032183099498
B2,Amur tiger,ricker,0.1,plus,0.85,0.85,61.74905849190059,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5850485493086116
B2,Amur tiger,ricker,0.1,plus,1.2,1.2,87.17514140033025,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5632049026387753
B2,Amur tiger,ricker,0.1,plus,1.5,1.5,108.9689267504128,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5497334931241487
B2,Amur tiger,ricker,0.1,plus,2.0,2.0,145.29190233388374,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5335195620599857
B2,Amur tiger,ricker,0.1,plus,3.0,3.0,217.9378535008256,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5134192133373325
B2,Amur tiger,ricker,0.1,plus,kref,3.441348017117911,250.0,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5074221477094025
B3,Amur tiger,allee,0.2,moor,0.5,0.5,30.70143058140183,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5116363045735391
B3,Amur tiger,allee,0.2,moor,0.7,0.7,42.98200281396256,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.4908621222694921
B3,Amur tiger,allee,0.2,moor,0.85,0.85,52.19243198838311,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.47874350774488317
B3,Amur tiger,allee,0.2,moor,1.2,1.2,73.68343339536439,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.45755103278054277
B3,Amur tiger,allee,0.2,moor,1.5,1.5,92.10429174420548,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.44437584083413717
B3,Amur tiger,allee,0.2,moor,2.0,2.0,122.80572232560732,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.42836336286845433
B3,Amur tiger,allee,0.2,moor,3.0,3.0,184.20858348841097,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.4081849337498902
B3,Amur tiger,allee,0.2,moor,kref,4.071471512331478,250.00000000000003,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.3951065126240062
B3,Amur tiger,allee,0.2,plus,0.5,0.5,30.70143058140183,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.5116363045735391
B3,Amur tiger,allee,0.2,plus,0.7,0.7,42.98200281396256,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.4908621222694921
B3,Amur tiger,allee,0.2,plus,0.85,0.85,52.19243198838311,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.47874350774488317
B3,Amur tiger,allee,0.2,plus,1.2,1.2,73.68343339536439,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.45755103278054277
B3,Amur tiger,allee,0.2,plus,1.5,1.5,92.10429174420548,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.44437584083413717
B3,Amur tiger,allee,0.2,plus,2.0,2.0,122.80572232560732,4.224420899026084,9.112518314015307e-16,4.224420899026084,0.0,0.42836336286845433
B3,Amur tiger,allee,0.2,plus,3.0,3.0,184.20858348841097,4.213965020878538,0.008866983448775484,4.224420899026084,-0.010455878147546116,0.4081849337498902
B3,Amur tiger,allee,0.2,plus,kref,4.071471512331478,250.00000000000003,4.21235107963202,0.005822628079861896,4.224420899026084,-0.01206981939406404,0.3951065126240062
