population,population_class,environment,sigma_obs,reward_mode,collapse_penalty,method,method_label,episodes,evaluation_horizon,discount,operational_return_mean,operational_return_sd,collapse_rate,unsafe_fraction,mvp_breach_rate,persistence_mean,min_population_mean,economic_cost_mean,dataset_sha256,source,episodes_path,episodes_sha256,action_entropy_mean,constant_episode_policy,pbvi_action_margin_min,pbvi_argmax_actions
Amur tiger,declining recoverable,allee,0.2,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/allee/sigma_0p2/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,8b09ee8511af6e0ba90c6f3f5e78ccbbabc1f497beb34af84332380efb68f913,0.0,True,0.1576001997134604,10;5;10;10;5;10;10;10
Amur tiger,declining recoverable,allee,0.2,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/allee/sigma_0p2/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,540837583fc07dd017db9f0e8766cb9a7c188bfd3ff2930e20a966e5daf5f823,0.0,True,0.5839850410955965,10
Amur tiger,declining recoverable,theta,0.1,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,2.0142671238547694,0.6735789647791143,0.0,0.0,0.0,1.0,167.9677894556299,18.354374999999997,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.1,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,4.163138608373103,0.41327432004253023,0.0,0.0,0.0,1.0,109.13226638117325,6.835000000000001,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.1,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,-0.43135065735312467,0.9712878800171533,0.0,0.0,0.0,1.0,199.12377400901383,29.3625,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.1,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-11.277124918725253,2.81958955353141,1.0,0.242156862745098,1.0,0.0,14.870745206099503,6.211249999999999,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.1,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.264204637374474,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/theta/sigma_0p1/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,ed588c220e7fb8b09be3f3aa0cd65cf927734076924ae05b293f871be89c4d60,0.0,True,0.14491162727169815,10;5;10;10;1;10;10;5
Amur tiger,declining recoverable,theta,0.1,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.264204637374474,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,31cb9899650536ca89f70c8a1eadcb6de98a2a1a58205ecc8c9ab9bcad4c8063,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/theta/sigma_0p1/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,b52a968e2091820b3774dbb4d711752471205bec139f318a0f603fb9c98a510f,0.0,True,0.05813487260293826,10
Amur tiger,declining recoverable,theta,0.2,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,2.359053571910221,0.9750735041144434,0.0,0.0,0.0,1.0,162.33496577749548,17.559375000000003,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.2,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,3.2175018558439605,0.44424734153348316,0.0,0.0,0.0,1.0,83.82204501677435,7.981875,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.2,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,1.2728721265635894,0.8166070181976854,0.0,0.0,0.0,1.0,199.3634665191032,24.003125,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.2,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-11.712620492699163,5.5752960812822865,1.0,0.2431372549019608,1.0,0.0,14.8290907660132,5.6118749999999995,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,theta,0.2,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.264204637374474,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/theta/sigma_0p2/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,e475913cb6d8d8952b1ac1d8377eb2018fea3d3d2d119c84bb126a95a84216eb,0.0,True,0.06733733283703103,10;10;3;10;10;10;10;10
Amur tiger,declining recoverable,theta,0.2,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.264204637374474,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,bd0f16b38f821b0376003c505545bd4cf7fd33382656df88ab18f1e3438ab651,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/theta/sigma_0p2/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,808febd5991b2811cfc843a62fd4e1ed2e381ca40b91a13990e32a0c4fd805f3,0.0,True,0.2599606584450136,10
Amur tiger,declining recoverable,regime,0.1,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,1.2613216221274433,0.6860796112554004,0.0,0.0,0.0,1.0,184.16896404913604,23.57125,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.1,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,2.6118320585244827,0.7930938678006261,0.0,0.0,0.0,1.0,101.13757505915075,9.945000000000002,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.1,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,-0.7824968180170747,1.140251918559677,0.0,0.0,0.0,1.0,200.0,32.190625,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.1,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-12.046161340882028,6.81016701077711,1.0,0.24803921568627452,1.0,0.0,3.3707992727411473,2.888750000000001,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.1,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/regime/sigma_0p1/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,4852a85a076c040f3bba515000fc28c3d50395b2f54937fa397b88cb58d9d8aa,0.0,True,0.1986632815563123,10;9;10;10;8;10;10;10
Amur tiger,declining recoverable,regime,0.1,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/regime/sigma_0p1/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,b2197b3a70e04111b32b0a38e56f5f8ba1e23e2e6e892adc40df1e240601502a,0.0,True,0.768377086759088,10
Amur tiger,declining recoverable,regime,0.2,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,1.6108114870108299,0.8144123775411726,0.0,0.0,0.0,1.0,180.4972385570681,22.520625,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.2,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,2.7506350518969565,0.47961882500467634,0.0,0.0,0.0,1.0,79.26229404395426,8.936874999999999,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.2,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,0.36045265219931205,1.0842781305577083,0.0,0.0,0.0,1.0,199.55232989685265,26.894375000000004,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.2,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-12.011944675934865,8.52696031148192,1.0,0.2372549019607843,1.0,0.0,7.189836373326306,4.553125,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,regime,0.2,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/regime/sigma_0p2/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,35e1f909ffb0043068360f4733b676d98c25facabb2ba0f93dc294c1bf751d7b,0.0,True,0.05787828763705605,10;10;10;10;10;10;10;10
Amur tiger,declining recoverable,regime,0.2,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/regime/sigma_0p2/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,8d966cde95fe25fce4589eae8a572f135f61c65c92def037e115c9bdd0ea885e,0.0,True,0.7800475044891293,10
Crab-eating fox,strong-growth recoverable,ricker,0.1,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,9.937482184507235,0.15576228411897097,0.0,0.0,1.0,1.0,38.88510774612366,-2.479375000000001,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted frozen general-RL P=10,,,,,,
