population,environment,sigma_obs,action,reward,return_mean,return_sd,current_parity_delta
Amur tiger,allee,0.2,8,OptionA,-3.329843982535382,0.2363724769541854,8.881784197001252e-16
Amur tiger,allee,0.2,8,OptionC,-3.7230026856396847,0.23638426812143506,8.881784197001252e-16
Amur tiger,allee,0.2,9,Current,-7.01944539765058,0.1448582514318177,0.0
Amur tiger,allee,0.2,9,OptionA,-7.01944539765058,0.1448582514318177,0.0
Amur tiger,allee,0.2,9,OptionC,-7.412593191910792,0.14485825143219322,0.0
Amur tiger,allee,0.2,10,Current,4.224420899026084,0.0,0.0
Amur tiger,allee,0.2,10,OptionA,4.224420899026084,0.0,0.0
Amur tiger,allee,0.2,10,OptionC,3.8274989731993236,0.0,0.0
Amur tiger,theta,0.1,0,Current,1.958260656529654,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,theta,0.1,0,OptionA,5.163712884982731,9.112518314015307e-16,2.220446049250313e-16
Amur tiger,theta,0.1,0,OptionC,1.519855060277773,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,theta,0.1,1,Current,-89.2983724466728,1.4580029302424492e-14,2.842170943040401e-14
Amur tiger,theta,0.1,1,OptionA,-65.21131762841517,0.0,2.842170943040401e-14
Amur tiger,theta,0.1,1,OptionC,-89.74280405150105,0.0,2.842170943040401e-14
Amur tiger,theta,0.1,2,Current,-136.3328267520214,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.1,2,OptionA,-118.01645406312755,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.1,2,OptionC,-136.77727119609028,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.1,3,Current,4.232174948898644,0.04507912541509801,8.881784197001252e-16
Amur tiger,theta,0.1,3,OptionA,4.232174948898644,0.04507912541509801,8.881784197001252e-16
Amur tiger,theta,0.1,3,OptionC,3.8261779891560366,0.04510150734322513,8.881784197001252e-16
Amur tiger,theta,0.1,4,Current,-0.16203313802114505,0.02820135459660545,0.0
Amur tiger,theta,0.1,4,OptionA,-0.16203313802114505,0.02820135459660545,0.0
Amur tiger,theta,0.1,4,OptionC,-0.5680050979671725,0.028201358818938156,0.0
Amur tiger,theta,0.1,5,Current,-1.5031956861826683,0.0,1.1102230246251565e-15
Amur tiger,theta,0.1,5,OptionA,1.7022565422704095,0.0,1.1102230246251565e-15
Amur tiger,theta,0.1,5,OptionC,-1.9416012824345494,2.278129578503827e-16,1.1102230246251565e-15
Amur tiger,theta,0.1,6,Current,-7.272289590703205,9.112518314015307e-16,8.881784197001252e-16
Amur tiger,theta,0.1,6,OptionA,-4.066837362250128,0.0,8.881784197001252e-16
Amur tiger,theta,0.1,6,OptionC,-7.710695186955088,9.112518314015307e-16,8.881784197001252e-16
Amur tiger,theta,0.1,7,Current,1.7697635671627487,0.0806990951741718,2.220446049250313e-16
Amur tiger,theta,0.1,7,OptionA,1.7697635671627487,0.0806990951741718,2.220446049250313e-16
Amur tiger,theta,0.1,7,OptionC,1.3760249504345219,0.08104728432935407,2.220446049250313e-16
Amur tiger,theta,0.1,8,Current,-3.938385194967455,0.06473564305636936,0.0
Amur tiger,theta,0.1,8,OptionA,-3.938385194967455,0.06473564305636936,0.0
Amur tiger,theta,0.1,8,OptionC,-4.332077611023313,0.06505617262454379,0.0
Amur tiger,theta,0.1,9,Current,-7.412718767042788,0.06536207757602329,0.0
Amur tiger,theta,0.1,9,OptionA,-7.412718767042788,0.06536207757602329,0.0
Amur tiger,theta,0.1,9,OptionC,-7.805866639820681,0.06536218211215619,0.0
Amur tiger,theta,0.1,10,Current,4.264204637374474,9.112518314015307e-16,0.0
Amur tiger,theta,0.1,10,OptionA,4.264204637374474,9.112518314015307e-16,0.0
Amur tiger,theta,0.1,10,OptionC,3.867617759461237,9.112518314015307e-16,0.0
Amur tiger,theta,0.2,0,Current,1.958260656529654,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,theta,0.2,0,OptionA,5.163712884982731,9.112518314015307e-16,2.220446049250313e-16
Amur tiger,theta,0.2,0,OptionC,1.519855060277773,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,theta,0.2,1,Current,-89.2983724466728,1.4580029302424492e-14,2.842170943040401e-14
Amur tiger,theta,0.2,1,OptionA,-65.21131762841517,0.0,2.842170943040401e-14
Amur tiger,theta,0.2,1,OptionC,-89.74280405150105,0.0,2.842170943040401e-14
Amur tiger,theta,0.2,2,Current,-136.3328267520214,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.2,2,OptionA,-118.01645406312755,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.2,2,OptionC,-136.77727119609028,2.9160058604848984e-14,2.842170943040401e-14
Amur tiger,theta,0.2,3,Current,4.232174948898644,0.04507912541509801,8.881784197001252e-16
Amur tiger,theta,0.2,3,OptionA,4.232174948898644,0.04507912541509801,8.881784197001252e-16
Amur tiger,theta,0.2,3,OptionC,3.8261779891560366,0.04510150734322513,8.881784197001252e-16
Amur tiger,theta,0.2,4,Current,-0.16203313802114505,0.02820135459660545,0.0
Amur tiger,theta,0.2,4,OptionA,-0.16203313802114505,0.02820135459660545,0.0
Amur tiger,theta,0.2,4,OptionC,-0.5680050979671725,0.028201358818938156,0.0
Amur tiger,theta,0.2,5,Current,-1.5031956861826683,0.0,1.1102230246251565e-15
Amur tiger,theta,0.2,5,OptionA,1.7022565422704095,0.0,1.1102230246251565e-15
Amur tiger,theta,0.2,5,OptionC,-1.9416012824345494,2.278129578503827e-16,1.1102230246251565e-15
Amur tiger,theta,0.2,6,Current,-7.272289590703205,9.112518314015307e-16,8.881784197001252e-16
Amur tiger,theta,0.2,6,OptionA,-4.066837362250128,0.0,8.881784197001252e-16
Amur tiger,theta,0.2,6,OptionC,-7.710695186955088,9.112518314015307e-16,8.881784197001252e-16
Amur tiger,theta,0.2,7,Current,1.7697635671627487,0.0806990951741718,2.220446049250313e-16
Amur tiger,theta,0.2,7,OptionA,1.7697635671627487,0.0806990951741718,2.220446049250313e-16
Amur tiger,theta,0.2,7,OptionC,1.3760249504345219,0.08104728432935407,2.220446049250313e-16
Amur tiger,theta,0.2,8,Current,-3.938385194967455,0.06473564305636936,0.0
Amur tiger,theta,0.2,8,OptionA,-3.938385194967455,0.06473564305636936,0.0
Amur tiger,theta,0.2,8,OptionC,-4.332077611023313,0.06505617262454379,0.0
